Method_Category,Accuracy,Kappa,Roc
SVM CC,0.9850249584026622,0.702655159144632,0.775
SVM D,0.4904564315352697,0.3325087465739953,0.7835994025453895
SVM Y,0.3655115511551155,0.2945322594196415,0.7840789034854244
SVM CC test,0.9858569051580699,0.7234388111414882,0.7875
SVM CC val,0.9766472060050042,0.47155674484495513,0.6697606419148647
SVM CC train,1.0,1.0,1.0
SVM D test,0.48132780082987553,0.3197016216958388,0.777282148483982
SVM D val,0.49874686716791977,0.34229865794859815,0.7833518751531677
SVM D train,1.0,1.0,1.0
SVM Y test,0.37458745874587457,0.3046503178928247,0.7802648971843597
SVM Y val,0.37803855825649624,0.3083560832529858,0.7935097739473396
SVM Y train,0.9997915581031788,0.9997684610281421,0.9999999892224776
